Latitude,Longitude,Altitude,Mac
32.10419836,35.2091935,685.5370355,1c:b9:c4:16:cc:d8
32.10400481,35.20920836,686.5295599,90:6c:ac:9f:f1:c5
32.10465317,35.21092024,691.391404,00:11:6b:11:7e:0c
32.10452103,35.20972421,686.5181812,c2:6c:ac:9f:fb:1f
32.10466627,35.20990936,687,70:5a:0f:57:04:17
32.10260082,35.2094311,690.3486239,c4:12:f5:f6:a0:18
32.10351563,35.20922592,694.6152531,8c:0c:90:2e:16:88
32.10466627,35.20990936,687,90:6c:ac:a0:60:4d
32.10457393,35.21121279,694.3731328,1c:b9:c4:15:ed:48
32.10273836,35.20985669,711.9071836,2a:56:5a:9e:2e:ce
32.1038518,35.21002217,696.2530309,1c:b9:c4:15:1c:b8
32.10476714,35.2115156,696,1c:b9:c4:56:cd:18
32.10282362,35.20871899,688,1c:b9:c4:16:11:ac
32.10296049,35.20969913,702.14288,1c:b9:c4:14:30:3c
32.10374932,35.21009737,711.0424025,1c:b9:c4:96:28:e7
32.10476714,35.2115156,696,1c:b9:c4:16:cd:18
32.10351072,35.20990554,710.4194107,1c:b9:c4:15:ed:3c
32.10329589,35.2088191,686,ec:8c:a2:08:78:c8
32.10303985,35.20968827,703.1159416,1c:b9:c4:95:1c:b7
32.10219234,35.20946628,690,1c:b9:c4:14:2b:dc
32.10392739,35.21056695,702.5738639,24:79:2a:2b:bd:88
32.10282339,35.20991045,705.8336905,40:a5:ef:7a:17:f2
32.10250336,35.20915268,689.937678,f8:d1:11:77:77:c6
32.1020322,35.20935702,689,ec:8c:a2:08:94:1c
32.10299184,35.2096724,704.9567757,1c:b9:c4:15:ec:3c
32.10340144,35.21011301,700.944536,1c:b9:c4:16:ed:38
32.10302085,35.20966437,702.8302349,1c:b9:c4:96:ed:37
32.10353042,35.21005923,702.4919672,1c:b9:c4:16:06:b8
32.10363048,35.21005058,710.6278805,3c:52:82:ef:a4:8b
32.10351072,35.20990554,710.4194107,1c:b9:c4:15:fd:4c
32.1037249,35.21020742,710.7830608,24:79:2a:ab:07:b7
32.10483179,35.21036963,687,1c:b9:c4:15:25:48
32.10324519,35.20977924,707.250424,1c:b9:c4:16:f1:5c
32.10435895,35.20976125,686.3071861,1c:b9:c4:16:05:38
32.10283875,35.20978221,708.273839,00:18:25:12:72:f0
32.1024236,35.20967867,691.2650945,1c:b9:c4:15:3a:38
32.10376365,35.20883622,686,e0:10:7f:1a:bd:98
32.10488369,35.21092789,691.4192045,1c:b9:c4:15:44:58
32.10340998,35.20969477,704.4103268,1c:b9:c4:96:f1:57
32.10274869,35.20982946,708.1143382,1c:b9:c4:14:2c:38
32.10238085,35.21000654,712.1937427,1c:b9:c4:95:3a:37
32.10486232,35.21078094,692.7648361,1c:b9:c4:16:2b:e8
32.10360316,35.21000505,710.5814622,1c:b9:c4:15:ed:38
32.10466627,35.20990936,687,1c:b9:c4:96:05:37
32.1047433,35.21006092,687.9477801,c2:6c:ac:a0:7b:4d
32.10401436,35.21079152,697,24:79:2a:2c:5c:18
32.10365359,35.21010139,710.6710794,00:27:22:f3:bb:2b
32.10262261,35.20989285,707.9593217,1c:b9:c4:94:2c:37
